username,item,rating,helpfulness,sentiment,emotions
007solotraveler,"Radisson Blu Royal Viking Hotel, Stockholm",4,1.0,2.7443609022556394,"{'Happy': 0.2, 'Angry': 0.05, 'Surprise': 0.2, 'Sad': 0.15, 'Fear': 0.4}"
007solotraveler,Radisson Blu Waterfront Hotel,5,0.0,2.556390977443609,"{'Happy': 0.43, 'Angry': 0.07, 'Surprise': 0.21, 'Sad': 0.0, 'Fear': 0.29}"
007solotraveler,Hilton Miami Airport,4,0.0,2.706766917293233,"{'Happy': 0.12, 'Angry': 0.19, 'Surprise': 0.12, 'Sad': 0.23, 'Fear': 0.35}"
007solotraveler,Hunter Steakhouse,5,1.0,2.8571428571428568,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.11, 'Sad': 0.22, 'Fear': 0.33}"
007solotraveler,Crowne Plaza Hotel San Diego - Mission Valley,4,3.0,2.7443609022556394,"{'Happy': 0.17, 'Angry': 0.1, 'Surprise': 0.2, 'Sad': 0.07, 'Fear': 0.45}"
007solotraveler,Hilton San Francisco Union Square,5,1.0,3.045112781954887,"{'Happy': 0.14, 'Angry': 0.09, 'Surprise': 0.09, 'Sad': 0.19, 'Fear': 0.49}"
007solotraveler,BEST WESTERN PLUS Cavalier Oceanfront Resort,4,1.0,2.8571428571428568,"{'Happy': 0.24, 'Angry': 0.12, 'Surprise': 0.29, 'Sad': 0.12, 'Fear': 0.24}"
007solotraveler,Sofitel London Gatwick,4,0.0,2.9699248120300754,"{'Happy': 0.25, 'Angry': 0.06, 'Surprise': 0.06, 'Sad': 0.25, 'Fear': 0.38}"
007solotraveler,Holiday Inn London Sutton,4,0.0,2.8947368421052637,"{'Happy': 0.23, 'Angry': 0.09, 'Surprise': 0.34, 'Sad': 0.09, 'Fear': 0.26}"
007solotraveler,Radisson Blu Edwardian Vanderbilt,4,2.0,2.631578947368421,"{'Happy': 0.21, 'Angry': 0.1, 'Surprise': 0.14, 'Sad': 0.19, 'Fear': 0.36}"
007solotraveler,Hilton London Kensington,4,0.0,2.6691729323308278,"{'Happy': 0.17, 'Angry': 0.06, 'Surprise': 0.22, 'Sad': 0.11, 'Fear': 0.44}"
0BKI0,Wahaca Bristol,1,0.0,2.443609022556391,"{'Happy': 0.11, 'Angry': 0.03, 'Surprise': 0.26, 'Sad': 0.34, 'Fear': 0.26}"
0BKI0,Canico Restaurant,5,1.0,2.593984962406015,"{'Happy': 0.38, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.12, 'Fear': 0.5}"
0BKI0,A Lota,5,2.0,2.443609022556391,"{'Happy': 0.17, 'Angry': 0.17, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.17}"
0BKI0,Jamie's Italian Bristol,3,0.0,2.6691729323308278,"{'Happy': 0.27, 'Angry': 0.0, 'Surprise': 0.36, 'Sad': 0.27, 'Fear': 0.09}"
0BKI0,NOA Japanese Restaurant,5,2.0,2.406015037593985,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.43, 'Fear': 0.0}"
0BKI0,106 Baker St.,5,0.0,2.556390977443609,"{'Happy': 0.3, 'Angry': 0.1, 'Surprise': 0.3, 'Sad': 0.0, 'Fear': 0.3}"
0BKI0,Park Plaza Sherlock Holmes London,4,0.0,2.932330827067669,"{'Happy': 0.19, 'Angry': 0.08, 'Surprise': 0.12, 'Sad': 0.23, 'Fear': 0.38}"
0BKI0,Hotel OTTO,4,2.0,2.819548872180451,"{'Happy': 0.6, 'Angry': 0.13, 'Surprise': 0.0, 'Sad': 0.2, 'Fear': 0.07}"
0BKI0,Bedruthan Hotel & Spa,4,1.0,2.932330827067669,"{'Happy': 0.19, 'Angry': 0.11, 'Surprise': 0.33, 'Sad': 0.07, 'Fear': 0.3}"
